query,category,ground_truth,expected_tools,standard_rag,standard_rag_time,static_multi_tool,static_multi_tool_time,agentic_rag,agentic_rag_time,agentic_rag_tools,agentic_score,agentic_tool_acc,standard_score,static_score
Bagaimana pengaruh El Nino terhadap pola hujan di daerah pertanian saya?,Cuaca,El Nino cenderung mengurangi curah hujan dan memperpanjang musim kemarau di daerah Anda.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.126338958740234,Error: 429 Rate Limited,66.61111378669739,Error: 429 Rate Limited,33.6299991607666,cek_cuaca,0,0.0,0,0
Berapa lama lagi perkiraan musim kemarau akan berlangsung di Pulau Madura?,Cuaca,Musim kemarau di Madura diperkirakan akan berlangsung hingga akhir Oktober.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.25779700279236,Error: 429 Rate Limited,66.62202620506287,Error: 429 Rate Limited,35.07532811164856,cek_cuaca,0,0.0,0,0
Apakah ada peringatan dini banjir untuk daerah aliran sungai dekat sawah saya?,Cuaca,Ada peringatan potensi banjir ringan untuk daerah aliran sungai Anda akibat intensitas hujan tinggi.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,34.24716114997864,Error: 429 Rate Limited,68.79292750358582,Error: 429 Rate Limited,34.65101456642151,cek_cuaca,0,0.0,0,0
Bagaimana prakiraan cuaca untuk proses pengeringan hasil panen hari ini?,Cuaca,"Hari ini cuaca cerah penuh dengan sinar matahari, sangat baik untuk pengeringan hasil panen.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.494426250457764,Error: 429 Rate Limited,68.8591959476471,Error: 429 Rate Limited,33.34774208068848,cek_cuaca,0,0.0,0,0
Apakah ada potensi kabut tebal yang bisa mengganggu panen besok pagi?,Cuaca,"Besok pagi diprediksi ada potensi kabut tipis di beberapa area, namun tidak terlalu tebal.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.38026523590088,Error: 429 Rate Limited,67.08864307403564,Error: 429 Rate Limited,32.675163984298706,,0,0.0,0,0
Informasi cuaca untuk satu bulan ke depan di Kalimantan Selatan bagaimana?,Cuaca,Kalimantan Selatan diprediksi mengalami curah hujan moderat dengan beberapa hari cerah di bulan depan.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.41640043258667,Error: 429 Rate Limited,66.84496355056763,Error: 429 Rate Limited,39.65210223197937,cek_cuaca,0,0.0,0,0
Apakah suhu panas terik ini akan bertahan lama dan berpengaruh pada tanaman tomat saya?,Cuaca,Suhu terik diperkirakan bertahan 3-4 hari lagi. Pastikan penyiraman cukup untuk tanaman tomat Anda.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.06322765350342,Error: 429 Rate Limited,66.86101174354553,Error: 429 Rate Limited,67.40759038925171,"tanya_panduan_hama, cek_cuaca",0,0.0,0,0
Kapan terakhir kali daerah saya menerima hujan yang cukup untuk mengisi irigasi?,Cuaca,Hujan yang cukup untuk irigasi terakhir terjadi sekitar 10 hari yang lalu.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.22607946395874,Error: 429 Rate Limited,66.83347249031067,Error: 429 Rate Limited,33.57613492012024,cek_cuaca,0,0.0,0,0
Bagaimana prakiraan intensitas sinar UV hari ini di lokasi saya?,Cuaca,"Intensitas sinar UV hari ini diperkirakan tinggi, disarankan untuk berhati-hati saat beraktivitas di luar.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.2105917930603,Error: 429 Rate Limited,66.8959367275238,Error: 429 Rate Limited,32.11910915374756,,0,0.0,0,0
Apakah cuaca mendung dan berangin kencang ini pertanda akan turun hujan deras?,Cuaca,"Ya, mendung tebal dan angin kencang seringkali menjadi indikasi akan turunnya hujan deras. Bersiaplah.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.58137130737305,Error: 429 Rate Limited,65.8230791091919,Error: 429 Rate Limited,33.53306794166565,cek_cuaca,0,0.0,0,0
Berapa harga rata-rata cabai rawit merah hari ini di pasar induk Jakarta?,Harga Pasar,Harga rata-rata cabai rawit merah di pasar induk Jakarta hari ini berkisar Rp 55.000 - Rp 60.000 per kilogram.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.83610701560974,Error: 429 Rate Limited,66.04494857788086,Error: 429 Rate Limited,31.933598279953003,,0,0.0,0,0
Bagaimana tren harga bawang merah lokal saya selama sebulan terakhir?,Harga Pasar,"Tren harga bawang merah di wilayah Anda cenderung stabil dengan sedikit kenaikan di akhir bulan, sekitar Rp 28.000 - Rp 32.000 per kilogram.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.159645795822144,Error: 429 Rate Limited,66.0587215423584,Error: 429 Rate Limited,31.798872470855713,cek_harga_pangan,0,0.0,0,0
Tolong cek harga pupuk NPK bersubsidi dan non-subsidi di wilayah Jawa Timur.,Harga Pasar,Harga pupuk NPK bersubsidi (Phonska) di Jawa Timur sesuai HET Rp 2.300/kg. Non-subsidi bervariasi antara Rp 6.000 - Rp 8.000/kg tergantung merek.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.77938985824585,Error: 429 Rate Limited,65.8756742477417,Error: 429 Rate Limited,31.756834506988525,cek_harga_pupuk,0,0.0,0,0
Apakah harga beras medium stabil atau ada perubahan signifikan minggu ini?,Harga Pasar,Harga beras medium cenderung stabil minggu ini di kisaran Rp 12.500 - Rp 13.000 per kilogram di sebagian besar pasar.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.7434515953064,Error: 429 Rate Limited,65.5357038974762,Error: 429 Rate Limited,31.752110958099365,cek_harga_pangan,0,0.0,0,0
Bisakah saya membandingkan harga tomat di pasar lokal saya dengan pasar di kota terdekat?,Harga Pasar,"Harga tomat di pasar lokal Anda sekitar Rp 8.000/kg. Sementara di kota terdekat, harga bisa mencapai Rp 9.500/kg.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.76225781440735,Error: 429 Rate Limited,65.44340991973877,Error: 429 Rate Limited,31.61488938331604,,0,0.0,0,0
"Menurut data, bagaimana perkiraan harga jagung pipilan kering untuk panen berikutnya?",Harga Pasar,"Perkiraan harga jagung pipilan kering untuk panen berikutnya diprediksi stabil atau sedikit menurun karena pasokan yang melimpah, sekitar Rp 4.500 - Rp 5.000 per kilogram.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.626052379608154,Error: 429 Rate Limited,65.79731464385986,Error: 429 Rate Limited,31.611278295516968,,0,0.0,0,0
Berapa harga bibit padi varietas Ciherang saat ini per kilogram?,Harga Pasar,"Harga bibit padi varietas Ciherang saat ini berkisar antara Rp 12.000 - Rp 15.000 per kilogram, tergantung penyedia dan sertifikasi.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.53911876678467,Error: 429 Rate Limited,65.7423779964447,Error: 429 Rate Limited,64.35751032829285,tanya_panduan_hama,0,0.0,0,0
Informasi harga pestisida insektisida merk X di pasaran sekarang.,Harga Pasar,Harga pestisida insektisida merk X ukuran 500ml saat ini di pasaran sekitar Rp 85.000 - Rp 100.000.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.721797704696655,Error: 429 Rate Limited,65.60108089447021,Error: 429 Rate Limited,31.74853014945984,,0,0.0,0,0
Kapan waktu terbaik untuk menjual hasil panen kentang agar mendapatkan harga tertinggi?,Harga Pasar,"Waktu terbaik menjual kentang biasanya saat pasokan berkurang setelah musim panen raya atau menjelang hari raya besar, biasanya 1-2 bulan setelah puncak panen.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.62928533554077,Error: 429 Rate Limited,65.50488066673279,Error: 429 Rate Limited,31.666200876235962,,0,0.0,0,0
Faktor apa saja yang paling mempengaruhi fluktuasi harga sayuran hijau seperti bayam dan kangkung?,Harga Pasar,"Fluktuasi harga sayuran hijau dipengaruhi oleh cuaca (hujan/panas), musim panen, biaya transportasi, serta permintaan pasar.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.64928102493286,Error: 429 Rate Limited,65.39168643951416,Error: 429 Rate Limited,31.61689829826355,,0,0.0,0,0
Coba cek harga ubi jalar dan singkong di pasar tradisional minggu ini.,Harga Pasar,Harga ubi jalar di pasar tradisional sekitar Rp 6.000 - Rp 8.000/kg dan singkong Rp 3.000 - Rp 4.500/kg minggu ini.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.52402949333191,Error: 429 Rate Limited,65.44056105613708,Error: 429 Rate Limited,31.649329662322998,,0,0.0,0,0
"Untuk petani kopi, bagaimana harga biji kopi robusta grade A saat ini di sentra produksi?",Harga Pasar,Harga biji kopi robusta grade A di sentra produksi saat ini berkisar Rp 28.000 - Rp 32.000 per kilogram.,"pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.568952798843384,Error: 429 Rate Limited,65.4691972732544,Error: 429 Rate Limited,31.607004165649414,,0,0.0,0,0
Bagaimana cara mendapatkan informasi terbaru mengenai kuota dan harga pupuk bersubsidi?,Harga Pasar,"Informasi terbaru kuota dan harga pupuk bersubsidi bisa didapat melalui kelompok tani setempat, dinas pertanian, atau aplikasi resmi Kementerian Pertanian.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.769187211990356,Error: 429 Rate Limited,65.48980736732483,Error: 429 Rate Limited,31.6157546043396,cek_harga_pupuk,0,0.0,0,0
Berapa harga bawang putih kating dan sinai di pasar grosir Surabaya hari ini?,Harga Pasar,"Harga bawang putih kating di pasar grosir Surabaya sekitar Rp 38.000 - Rp 42.000/kg, sedangkan sinai sekitar Rp 32.000 - Rp 36.000/kg.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.62716770172119,Error: 429 Rate Limited,65.51130247116089,Error: 429 Rate Limited,31.602442502975464,cek_harga_pangan,0,0.0,0,0
Apakah cuaca ekstrem yang baru-baru ini terjadi akan berdampak pada harga cabai dalam waktu dekat?,Harga Pasar,"Cuaca ekstrem berpotensi menyebabkan gagal panen atau penurunan kualitas, yang kemungkinan akan menaikkan harga cabai dalam beberapa minggu ke depan.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.624146938323975,Error: 429 Rate Limited,65.56471371650696,Error: 429 Rate Limited,32.78233218193054,"cek_harga_pangan, cek_cuaca",0,0.0,0,0
Berapa harga jual daun bawang dan seledri di tingkat petani sekarang?,Harga Pasar,"Harga jual daun bawang di tingkat petani sekitar Rp 6.000 - Rp 8.000/kg, dan seledri Rp 7.000 - Rp 9.000/kg.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.78204679489136,Error: 429 Rate Limited,65.83836007118225,Error: 429 Rate Limited,31.666613340377808,,0,0.0,0,0
Bisa Tani Cerdas menunjukkan harga gabah kering panen (GKP) di berbagai provinsi produsen padi?,Harga Pasar,"Harga GKP bervariasi, misalnya di Jawa Barat sekitar Rp 5.800-6.200/kg, Jawa Timur Rp 5.700-6.100/kg, dan Sumatera Selatan Rp 5.900-6.300/kg.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.62871718406677,Error: 429 Rate Limited,65.61621379852295,Error: 429 Rate Limited,64.40319919586182,tanya_panduan_hama,0,0.0,0,0
Informasi harga kedelai impor dan lokal per kilogram di tingkat pengepul.,Harga Pasar,"Harga kedelai impor di tingkat pengepul sekitar Rp 13.500 - Rp 14.000/kg. Kedelai lokal cenderung lebih tinggi, sekitar Rp 15.000 - Rp 16.000/kg.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.57623267173767,Error: 429 Rate Limited,65.27761840820312,Error: 429 Rate Limited,31.61306357383728,,0,0.0,0,0
"Selain pupuk kimia, apakah ada data harga pupuk organik atau kompos per karung?",Harga Pasar,"Harga pupuk organik atau kompos per karung (25-50 kg) bervariasi antara Rp 30.000 - Rp 75.000, tergantung jenis dan produsen.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.520182847976685,Error: 429 Rate Limited,65.46701669692993,Error: 429 Rate Limited,31.94657564163208,cek_harga_pupuk,0,0.0,0,0
"Untuk komoditas musiman seperti durian, bagaimana proyeksi harga saat musim panen raya nanti?",Harga Pasar,"Proyeksi harga durian saat musim panen raya cenderung menurun karena pasokan melimpah, perkiraan harga di tingkat petani bisa turun 15-25% dari harga normal.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,32.447081327438354,Error: 429 Rate Limited,65.34147715568542,Error: 429 Rate Limited,32.92306208610535,cek_cuaca,0,0.0,0,0
"Padi saya daunnya menguning, ada bintik-bintik cokelat kecil. Itu kira-kira penyakit apa ya dan bagaimana cara mengatasinya?",Penyakit & Hama,"Gejala tersebut bisa jadi menunjukkan penyakit blas atau bercak daun. Untuk penanganan lebih lanjut, perlu identifikasi lebih detail. Anda bisa menggunakan fungisida yang direkomendasikan.","pilih: tanya_panduan_hama, cek_harga_pangan, cek_harga_pupuk, cek_cuaca, simpan_profil_petani",Error: 429 Rate Limited,33.67379713058472,Error: 429 Rate Limited,70.71988940238953,Error: 429 Rate Limited,64.52384424209595,tanya_panduan_hama,0,0.0,0,0
